ID,titel,authors,geners,image,year,lang,isbn
89,The Princess Bride ,['William Goldman'],"['fantasy', 'fiction', 'classics', 'romance', 'young-adult']",https://images.gr-assets.com/books/1327903636m/21787.jpg,1973,eng,345418263
90,The Outsiders,['S.E. Hinton'],"['classics', 'young-adult', 'fiction', 'historical-fiction', 'contemporary']",https://images.gr-assets.com/books/1442129426m/231804.jpg,1967,eng,014038572X
91,"The Maze Runner (Maze Runner, #1)",['James Dashner'],"['young-adult', 'science-fiction', 'fiction', 'fantasy', 'mystery']",https://images.gr-assets.com/books/1375596592m/6186357.jpg,2009,eng,385737947
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","['Steven D. Levitt', 'Stephen J. Dubner']","['nonfiction', 'business', 'science', 'psychology']",https://images.gr-assets.com/books/1327909092m/1202.jpg,2005,eng,61234001
93,The Secret Garden,['Frances Hodgson Burnett'],"['classics', 'fiction', 'young-adult', 'historical-fiction', 'fantasy']",https://images.gr-assets.com/books/1327873635m/2998.jpg,1911,eng,517189607
94,One Hundred Years of Solitude,"['Gabriel GarcÃ­a MÃ¡rquez', 'Gregory Rabassa']","['fiction', 'classics', 'fantasy', 'historical-fiction']",https://images.gr-assets.com/books/1327881361m/320.jpg,1967,eng,60531045
95,The Picture of Dorian Gray,"['Oscar Wilde', 'Jeffrey Eugenides']","['classics', 'fiction', 'horror', 'fantasy']",https://images.gr-assets.com/books/1424596966m/5297.jpg,1891,eng,375751513
96,"Fifty Shades Freed (Fifty Shades, #3)",['E.L. James'],"['romance', 'fiction', 'contemporary', 'chick-lit']",https://images.gr-assets.com/books/1336418837m/13536860.jpg,2012,eng,345803507
97,Dracula,"['Bram Stoker', 'Nina Auerbach', 'David J. Skal']","['classics', 'horror', 'fiction', 'fantasy', 'paranormal']",https://images.gr-assets.com/books/1387151694m/17245.jpg,1897,eng,393970124
98,"The Girl Who Played with Fire (Millennium, #2)","['Stieg Larsson', 'Reg Keeland']","['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']",https://images.gr-assets.com/books/1351778881m/5060378.jpg,2006,eng,307269981
99,"Fifty Shades Darker (Fifty Shades, #2)",['E.L. James'],"['romance', 'fiction', 'contemporary', 'chick-lit']",https://images.gr-assets.com/books/1358266080m/11857408.jpg,2011,eng,1612130585
100,The Poisonwood Bible,['Barbara Kingsolver'],"['fiction', 'historical-fiction', 'classics', 'religion']",https://images.gr-assets.com/books/1412242487m/7244.jpg,1998,eng,60786507
101,Me Talk Pretty One Day,['David Sedaris'],"['nonfiction', 'memoir', 'biography']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2000,eng,349113912
102,Where the Wild Things Are,['Maurice Sendak'],"['fiction', 'classics', 'fantasy', 'young-adult']",https://images.gr-assets.com/books/1384434560m/19543.jpg,1963,eng,99408392
103,The Count of Monte Cristo,"['Alexandre Dumas', 'Robin Buss']","['classics', 'fiction', 'historical-fiction', 'romance']",https://images.gr-assets.com/books/1309203605m/7126.jpg,1844,eng,140449264
104,The Road,['Cormac McCarthy'],"['fiction', 'science-fiction', 'classics', 'horror', 'contemporary']",https://images.gr-assets.com/books/1439197219m/6288.jpg,2006,eng,307265439
105,"Allegiant (Divergent, #3)",['Veronica Roth'],"['young-adult', 'fiction', 'science-fiction', 'fantasy', 'romance']",https://images.gr-assets.com/books/1395582745m/18710190.jpg,2013,eng,7524277
106,Bossypants,['Tina Fey'],"['nonfiction', 'memoir', 'biography']",https://images.gr-assets.com/books/1481509554m/9418327.jpg,2011,eng,
108,"Confessions of a Shopaholic (Shopaholic, #1)",['Sophie Kinsella'],"['chick-lit', 'fiction', 'romance', 'contemporary', 'young-adult']",https://images.gr-assets.com/books/1327872404m/9416.jpg,2000,eng,440241413
109,Les MisÃ©rables,"['Victor Hugo', 'Lee Fahnestock', 'Norman MacAfee']","['classics', 'fiction', 'historical-fiction', 'romance']",https://images.gr-assets.com/books/1411852091m/24280.jpg,1862,eng,451525264
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",['George R.R. Martin'],"['fantasy', 'fiction']",https://images.gr-assets.com/books/1358254974m/10572.jpg,1998,eng,553381695
111,The Memory Keeper's Daughter,['Kim Edwards'],"['fiction', 'contemporary', 'historical-fiction', 'chick-lit']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2005,eng,143037145
113,Catch-22,['Joseph Heller'],"['classics', 'fiction', 'historical-fiction']",https://images.gr-assets.com/books/1463157317m/168668.jpg,1961,eng,684833395
114,Tuesdays with Morrie,"['Mitch Albom', 'Saulius Dagys']","['nonfiction', 'memoir', 'biography', 'classics', 'philosophy', 'self-help', 'contemporary']",https://images.gr-assets.com/books/1423763749m/6900.jpg,1997,eng,751529818
115,Middlesex,['Jeffrey Eugenides'],"['fiction', 'historical-fiction', 'contemporary', 'classics']",https://images.gr-assets.com/books/1437029776m/2187.jpg,2002,eng,312422156
116,The Adventures of Tom Sawyer,"['Mark Twain', 'Guy Cardwell', 'John Seelye']","['classics', 'fiction', 'young-adult', 'historical-fiction']",https://images.gr-assets.com/books/1404811979m/24583.jpg,1876,eng,143039563
118,The Joy Luck Club,['Amy Tan'],"['fiction', 'historical-fiction', 'classics', 'contemporary']",https://images.gr-assets.com/books/1304978653m/7763.jpg,1989,eng,143038095
119,The Handmaid's Tale,['Margaret Atwood'],"['fiction', 'classics', 'science-fiction', 'fantasy']",https://images.gr-assets.com/books/1498057733m/38447.jpg,1985,eng,038549081X
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",['Ann Brashares'],"['young-adult', 'fiction', 'chick-lit', 'contemporary', 'romance']",https://images.gr-assets.com/books/1461611233m/452306.jpg,2001,eng,385729332
121,Lolita,"['Vladimir Nabokov', 'Craig Raine']","['classics', 'fiction', 'romance']",https://images.gr-assets.com/books/1377756377m/7604.jpg,1955,eng,
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","['Gregory Maguire', 'Douglas Smith']","['fantasy', 'fiction', 'classics']",https://images.gr-assets.com/books/1437733293m/37442.jpg,1995,eng,60987103
123,"The Firm (Penguin Readers, Level 5)",['John Grisham'],"['fiction', 'thriller', 'mystery', 'suspense', 'crime']",https://images.gr-assets.com/books/1418465200m/5358.jpg,1991,eng,582418275
125,Hamlet,"['William Shakespeare', 'Richard Andrews', 'Rex Gibson']","['classics', 'fiction', 'poetry']",https://images.gr-assets.com/books/1351051208m/1420.jpg,1600,eng,521618746
127,The Tipping Point: How Little Things Can Make a Big Difference,['Malcolm Gladwell'],"['nonfiction', 'business', 'psychology', 'science', 'self-help', 'philosophy']",https://images.gr-assets.com/books/1473396980m/2612.jpg,2000,eng,316346624
128,Steve Jobs,['Walter Isaacson'],"['biography', 'nonfiction', 'business', 'history', 'memoir']",https://images.gr-assets.com/books/1327861368m/11084145.jpg,2011,eng,1451648537
129,One Flew Over the Cuckoo's Nest,['Ken Kesey'],"['classics', 'fiction', 'psychology', 'contemporary']",https://images.gr-assets.com/books/1485308778m/332613.jpg,1962,eng,451163966
130,The Old Man and the Sea,['Ernest Hemingway'],"['classics', 'fiction']",https://images.gr-assets.com/books/1329189714m/2165.jpg,1952,eng,684830493
131,The Grapes of Wrath,['John Steinbeck'],"['classics', 'fiction', 'historical-fiction']",https://images.gr-assets.com/books/1352912927m/4395.jpg,1939,eng,142000663
132,The Five People You Meet in Heaven,['Mitch Albom'],"['fiction', 'contemporary', 'fantasy', 'spirituality', 'classics', 'philosophy']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2003,eng,1401308589
133,"Anne of Green Gables (Anne of Green Gables, #1)",['L.M. Montgomery'],"['classics', 'fiction', 'young-adult', 'historical-fiction']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1908,eng,451528824
134,"City of Glass (The Mortal Instruments, #3)",['Cassandra Clare'],"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']",https://images.gr-assets.com/books/1369452339m/3777732.jpg,2009,eng,1416914307
135,"A Storm of Swords (A Song of Ice and Fire, #3)",['George R.R. Martin'],"['fantasy', 'fiction']",https://images.gr-assets.com/books/1497931121m/62291.jpg,2000,eng,055357342X
136,Divine Secrets of the Ya-Ya Sisterhood,['Rebecca Wells'],"['fiction', 'chick-lit', 'contemporary', 'historical-fiction']",https://images.gr-assets.com/books/1408313524m/137791.jpg,1996,eng,006075995X
137,"Outlander (Outlander, #1)",['Diana Gabaldon'],"['historical-fiction', 'romance', 'fantasy', 'fiction']",https://images.gr-assets.com/books/1402600310m/10964.jpg,1991,eng,440242940
138,The Scarlet Letter,"['Nathaniel Hawthorne', 'Thomas E. Connolly', 'Nina Baym']","['classics', 'fiction', 'historical-fiction']",https://images.gr-assets.com/books/1404810944m/12296.jpg,1850,eng,142437263
139,"Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children, #1)",['Ransom Riggs'],"['fantasy', 'young-adult', 'fiction', 'paranormal', 'mystery', 'horror', 'historical-fiction']",https://images.gr-assets.com/books/1472782916m/9460487.jpg,2011,eng,1594744769
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","['Stieg Larsson', 'Reg Keeland']","['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']",https://images.gr-assets.com/books/1327708260m/6892870.jpg,2007,eng,030726999X
141,The Martian,['Andy Weir'],"['science-fiction', 'fiction', 'thriller']",https://images.gr-assets.com/books/1413706054m/18007564.jpg,2012,eng,804139024
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",['Ken Follett'],"['historical-fiction', 'fiction', 'fantasy', 'classics']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1989,eng,451207149
143,All the Light We Cannot See,['Anthony Doerr'],"['historical-fiction', 'fiction']",https://images.gr-assets.com/books/1451445646m/18143977.jpg,2014,eng,1476746583
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",['Laura Hillenbrand'],"['nonfiction', 'history', 'biography', 'memoir']",https://images.gr-assets.com/books/1327861115m/8664353.jpg,2010,eng,1400064163
145,Deception Point,['Dan Brown'],"['fiction', 'thriller', 'mystery', 'suspense', 'crime', 'science-fiction']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2001,eng,671027387
146,The Goldfinch,['Donna Tartt'],"['fiction', 'contemporary', 'art', 'mystery']",https://images.gr-assets.com/books/1451554970m/17333223.jpg,2013,eng,316055433
148,Girl with a Pearl Earring,['Tracy Chevalier'],"['historical-fiction', 'fiction', 'classics', 'art', 'romance']",https://images.gr-assets.com/books/1327197580m/2865.jpg,1999,eng,452287022
149,"If I Stay (If I Stay, #1)",['Gayle Forman'],"['young-adult', 'romance', 'contemporary', 'fiction', 'music']",https://images.gr-assets.com/books/1347462970m/4374400.jpg,2009,eng,525421033
150,The Red Tent,['Anita Diamant'],"['historical-fiction', 'fiction', 'religion']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1997,eng,312353766
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",['Rick Riordan'],"['fantasy', 'young-adult', 'fiction']",https://images.gr-assets.com/books/1400602661m/28186.jpg,2006,eng,786856866
